Frequency	Gain
400.00000	 0.08385
400.55633	 0.08428
401.11266	 0.08471
401.66898	 0.08514
402.22531	 0.08557
402.78164	 0.08601
403.33797	 0.08644
403.89430	 0.08688
404.45063	 0.08732
405.00695	 0.08777
405.56328	 0.08821
406.11961	 0.08866
406.67594	 0.08911
407.23227	 0.08957
407.78860	 0.09002
408.34492	 0.09048
408.90125	 0.09094
409.45758	 0.09141
410.01391	 0.09187
410.57024	 0.09234
411.12656	 0.09281
411.68289	 0.09329
412.23922	 0.09376
412.79555	 0.09424
413.35188	 0.09472
413.90821	 0.09521
414.46453	 0.09569
415.02086	 0.09618
415.57719	 0.09667
416.13352	 0.09717
416.68985	 0.09767
417.24618	 0.09817
417.80250	 0.09867
418.35883	 0.09918
418.91516	 0.09969
419.47149	 0.10020
420.02782	 0.10072
420.58414	 0.10123
421.14047	 0.10175
421.69680	 0.10228
422.25313	 0.10281
422.80946	 0.10334
423.36579	 0.10387
423.92211	 0.10441
424.47844	 0.10495
425.03477	 0.10549
425.59110	 0.10603
426.14743	 0.10658
426.70376	 0.10714
427.26008	 0.10769
427.81641	 0.10825
428.37274	 0.10881
428.92907	 0.10938
429.48540	 0.10995
430.04172	 0.11052
430.59805	 0.11110
431.15438	 0.11168
431.71071	 0.11226
432.26704	 0.11285
432.82337	 0.11344
433.37969	 0.11404
433.93602	 0.11463
434.49235	 0.11524
435.04868	 0.11584
435.60501	 0.11645
436.16134	 0.11706
436.71766	 0.11768
437.27399	 0.11830
437.83032	 0.11893
438.38665	 0.11956
438.94298	 0.12019
439.49930	 0.12083
440.05563	 0.12147
440.61196	 0.12211
441.16829	 0.12276
441.72462	 0.12342
442.28095	 0.12407
442.83727	 0.12474
443.39360	 0.12540
443.94993	 0.12608
444.50626	 0.12675
445.06259	 0.12743
445.61892	 0.12812
446.17524	 0.12881
446.73157	 0.12950
447.28790	 0.13020
447.84423	 0.13090
448.40056	 0.13161
448.95688	 0.13232
449.51321	 0.13304
450.06954	 0.13376
450.62587	 0.13449
451.18220	 0.13522
451.73853	 0.13596
452.29485	 0.13671
452.85118	 0.13745
453.40751	 0.13821
453.96384	 0.13897
454.52017	 0.13973
455.07650	 0.14050
455.63282	 0.14128
456.18915	 0.14206
456.74548	 0.14284
457.30181	 0.14363
457.85814	 0.14443
458.41446	 0.14524
458.97079	 0.14604
459.52712	 0.14686
460.08345	 0.14768
460.63978	 0.14851
461.19611	 0.14934
461.75243	 0.15018
462.30876	 0.15103
462.86509	 0.15188
463.42142	 0.15274
463.97775	 0.15360
464.53408	 0.15447
465.09040	 0.15535
465.64673	 0.15624
466.20306	 0.15713
466.75939	 0.15803
467.31572	 0.15893
467.87204	 0.15984
468.42837	 0.16076
468.98470	 0.16169
469.54103	 0.16262
470.09736	 0.16356
470.65369	 0.16451
471.21001	 0.16547
471.76634	 0.16643
472.32267	 0.16740
472.87900	 0.16838
473.43533	 0.16937
473.99166	 0.17036
474.54798	 0.17137
475.10431	 0.17238
475.66064	 0.17340
476.21697	 0.17442
476.77330	 0.17546
477.32962	 0.17650
477.88595	 0.17756
478.44228	 0.17862
478.99861	 0.17969
479.55494	 0.18077
480.11127	 0.18186
480.66759	 0.18296
481.22392	 0.18406
481.78025	 0.18518
482.33658	 0.18631
482.89291	 0.18744
483.44924	 0.18859
484.00556	 0.18974
484.56189	 0.19091
485.11822	 0.19208
485.67455	 0.19327
486.23088	 0.19447
486.78720	 0.19567
487.34353	 0.19689
487.89986	 0.19812
488.45619	 0.19936
489.01252	 0.20061
489.56885	 0.20187
490.12517	 0.20315
490.68150	 0.20443
491.23783	 0.20573
491.79416	 0.20704
492.35049	 0.20836
492.90682	 0.20969
493.46314	 0.21103
494.01947	 0.21239
494.57580	 0.21376
495.13213	 0.21515
495.68846	 0.21654
496.24478	 0.21795
496.80111	 0.21937
497.35744	 0.22081
497.91377	 0.22226
498.47010	 0.22373
499.02643	 0.22520
499.58275	 0.22670
500.13908	 0.22820
500.69541	 0.22973
501.25174	 0.23126
501.80807	 0.23282
502.36439	 0.23438
502.92072	 0.23597
503.47705	 0.23757
504.03338	 0.23918
504.58971	 0.24081
505.14604	 0.24246
505.70236	 0.24413
506.25869	 0.24581
506.81502	 0.24751
507.37135	 0.24923
507.92768	 0.25096
508.48401	 0.25271
509.04033	 0.25448
509.59666	 0.25627
510.15299	 0.25808
510.70932	 0.25991
511.26565	 0.26176
511.82197	 0.26363
512.37830	 0.26551
512.93463	 0.26742
513.49096	 0.26935
514.04729	 0.27130
514.60362	 0.27327
515.15994	 0.27526
515.71627	 0.27727
516.27260	 0.27931
516.82893	 0.28137
517.38526	 0.28345
517.94159	 0.28556
518.49791	 0.28769
519.05424	 0.28984
519.61057	 0.29202
520.16690	 0.29422
520.72323	 0.29645
521.27955	 0.29870
521.83588	 0.30098
522.39221	 0.30329
522.94854	 0.30562
523.50487	 0.30798
524.06120	 0.31037
524.61752	 0.31279
525.17385	 0.31523
525.73018	 0.31770
526.28651	 0.32021
526.84284	 0.32274
527.39917	 0.32531
527.95549	 0.32790
528.51182	 0.33053
529.06815	 0.33319
529.62448	 0.33588
530.18081	 0.33861
530.73713	 0.34137
531.29346	 0.34416
531.84979	 0.34699
532.40612	 0.34985
532.96245	 0.35275
533.51878	 0.35569
534.07510	 0.35866
534.63143	 0.36167
535.18776	 0.36472
535.74409	 0.36781
536.30042	 0.37094
536.85675	 0.37410
