Frequency	Amplitude
10.000000000	0.000000029
10.000000000	0.000000017
10.000000000	0.000000042
10.000000000	0.000000079
10.000000000	0.000000139
10.000000000	0.000000219
10.000000000	0.000000319
10.000000000	0.000000447
10.000000000	0.000000685
10.000000000	0.000001064
0.000000000	0.000001561
0.000000000	0.000002534
0.000000000	0.000003184
0.000000000	0.000009349
0.000000000	0.000023714
0.000000000	0.000083893
0.000000000	0.001017472
0.000000000	0.000185627
0.000000000	0.000053750
0.000000000	0.000028459
0.000000000	0.000019319
0.000000000	0.000015497
0.000000000	0.000013512
0.000000000	0.000012990
0.000000000	0.000013212
0.000000000	0.000014486
0.000000000	0.000016949
0.000000000	0.000021200
0.000000000	0.000028962
0.000000000	0.000044356
0.000000000	0.000080623
0.000000000	0.000188350
0.000000000	0.000689101
0.000000000	0.000892709
0.000000000	0.000248247
0.000000000	0.000104474
0.000000000	0.000059596
0.000000000	0.000040126
0.000000000	0.000030720
0.000000000	0.000025531
0.000000000	0.000022945
0.000000000	0.000022163
0.000000000	0.000022764
0.000000000	0.000024987
0.000000000	0.000029589
0.000000000	0.000038511
0.000000000	0.000055854
0.000000000	0.000095486
0.000000000	0.000213284
0.000000000	0.000588377
0.000000000	0.000473991
0.000000000	0.000160074
0.000000000	0.000071949
0.000000000	0.000040327
0.000000000	0.000026634
0.000000000	0.000019676
0.000000000	0.000015611
0.000000000	0.000012855
0.000000000	0.000011466
0.000000000	0.000011149
0.000000000	0.000012245
0.000000000	0.000013992
0.000000000	0.000017833
0.000000000	0.000025316
0.000000000	0.000044129
0.000000000	0.000108014
0.000000000	0.000351237
0.000000000	0.000160734
0.000000000	0.000045857
0.000000000	0.000019792
0.000000000	0.000010945
0.000000000	0.000006956
0.000000000	0.000004818
0.000000000	0.000003758
0.000000000	0.000003177
0.000000000	0.000002774
0.000000000	0.000002616
0.000000000	0.000002671
0.000000000	0.000003069
0.000000000	0.000003803
0.000000000	0.000005477
0.000000000	0.000010368
0.000000000	0.000033638
0.000000000	0.000081541
0.000000000	0.000012758
0.000000000	0.000003800
0.000000000	0.000001626
0.000000000	0.000000878
0.000000000	0.000000521
0.000000000	0.000000358
0.000000000	0.000000237
0.000000000	0.000000170
0.000000000	0.000000144
0.000000000	0.000000109
0.000000000	0.000000080
0.000000000	0.000000083
0.000000000	0.000000067
0.000000000	0.000000064
0.000000000	0.000000051
0.000000000	0.000000184
0.000000000	0.000000007
0.000000000	0.000000015
0.000000000	0.000000020
0.000000000	0.000000023
0.000000000	0.000000028
0.000000000	0.000000031
0.000000000	0.000000041
